id_index,level,occ,race,server_id,deposit_year,deposit_his,role_count,'prediction margin','predicted class',class
283,130,12,0,1018,60,3427,1,-1,N,?
284,129,18,0,1034,96,96,1,-1,N,?
285,20,4,0,1056,1124,1124,2,-1,N,?
286,15,18,0,1022,1124,1124,2,-1,N,?
287,130,6,0,1078,2200,2200,1,-1,N,?
288,95,14,0,1048,120,120,3,-0.999999,N,?
289,16,14,0,1048,120,120,3,-0.999722,N,?
290,86,18,0,1022,120,120,3,-1,N,?
291,128,6,0,1083,87,87,1,-0.642071,N,?
292,130,6,0,1056,90,150,1,-0.999598,N,?
293,130,12,0,1007,160,990,1,-1,N,?
294,130,12,0,1007,150,11846,1,-1,N,?
295,130,16,0,1083,1416,1935,2,-1,N,?
296,130,16,0,1022,1416,1935,2,-1,N,?
297,130,2,0,1022,764,2729,1,-1,N,?
298,130,6,1,1018,260,750,1,-1,N,?
299,130,6,0,1054,1650,3962,1,-1,N,?
300,130,17,0,1022,66,505,1,-1,N,?
301,127,2,0,1034,12,12,1,-0.25055,N,?
302,130,6,0,1018,0,150,1,-0.999549,N,?
303,130,6,0,1019,0,0,1,-0.717996,N,?
304,130,12,0,1018,0,1906,1,-1,N,?
305,60,20,0,1022,0,0,3,-1,N,?
306,56,20,0,1022,0,0,3,-1,N,?
307,12,1,0,1022,0,0,3,0.986007,Y,?
308,130,16,0,1022,0,3536,1,-1,N,?
309,130,6,0,1022,0,1871,1,-1,N,?
310,51,20,0,1018,0,0,1,-1,N,?
311,130,3,0,1007,0,700,3,-1,N,?
312,108,2,0,1007,0,700,3,-1,N,?
313,106,16,0,1007,0,700,3,-1,N,?
314,107,7,0,1007,98,154,8,0.763838,Y,?
315,106,14,0,1007,98,154,8,-0.999997,N,?
316,106,2,1,1007,98,154,8,0.999909,Y,?
317,106,1,1,1007,98,154,8,0.99966,Y,?
318,106,2,0,1007,98,154,8,0.602253,Y,?
319,108,18,0,1007,98,154,8,-1,N,?
320,109,8,0,1007,98,154,8,0.383741,Y,?
321,130,6,0,1007,98,154,8,0.355175,Y,?
322,130,12,0,1007,3710,3650,1,-1,N,?
323,8,1,0,1022,610,1233,2,-1,N,?
324,130,2,0,1018,610,1233,2,-1,N,?
325,130,16,0,1018,110,2698,1,-1,N,?
326,130,16,0,1078,120,150,1,-1,N,?
327,130,20,0,1018,20,128,1,-1,N,?
328,130,6,0,1018,496,496,1,-1,N,?
329,87,19,0,1007,0,0,1,-1,N,?
330,128,15,1,1018,0,0,3,-0.999987,N,?
331,130,16,0,1018,0,0,3,-1,N,?
332,124,8,0,1018,0,0,3,-0.732981,N,?
333,130,5,1,1018,0,0,1,0.9983,Y,?
334,58,18,0,1018,0,9332,1,-1,N,?
335,39,6,0,1054,0,1200,1,-1,N,?
336,130,3,0,1056,0,100,1,-0.821523,N,?
337,105,3,1,1034,0,0,1,0.999542,Y,?
338,130,20,0,1034,0,0,1,-1,N,?
339,130,16,0,1034,10,528,1,-1,N,?
340,130,2,0,1019,30,616,1,-1,N,?
341,130,16,0,1007,60,2790,1,-1,N,?
342,110,2,0,1083,2100,8268,1,-1,N,?
343,129,18,0,1048,60,60,1,-1,N,?
344,130,12,0,1048,170,4190,1,-1,N,?
345,130,14,0,1007,1840,10040,1,-1,N,?
346,130,1,0,1054,0,160,1,-0.999972,N,?
347,130,16,0,1007,0,170,2,-1,N,?
348,130,9,0,1007,0,170,2,-0.99997,N,?
349,130,20,0,1078,0,0,1,-1,N,?
350,103,7,0,1034,0,0,2,0.004324,Y,?
351,100,12,0,1034,0,0,2,-0.99973,N,?
352,130,16,0,1034,0,140,1,-1,N,?
353,67,12,0,1018,0,0,3,-0.992507,N,?
354,65,4,0,1018,0,0,3,0.977423,Y,?
355,71,12,0,1018,0,0,3,-0.994342,N,?
356,80,18,0,1048,0,0,1,-1,N,?
357,130,2,0,1018,0,23518,1,-1,N,?
358,130,6,0,1018,0,0,1,-0.714069,N,?
359,121,20,0,1022,0,0,8,-1,N,?
360,121,20,0,1022,0,0,8,-1,N,?
361,122,20,0,1022,0,0,8,-1,N,?
362,122,20,0,1022,0,0,8,-1,N,?
363,122,20,0,1022,0,0,8,-1,N,?
364,130,20,0,1022,0,0,8,-1,N,?
365,122,20,0,1022,0,0,8,-1,N,?
366,122,20,0,1022,0,0,8,-1,N,?
367,48,14,0,1018,0,0,1,-0.999985,N,?
368,129,2,0,1007,0,0,2,-0.86425,N,?
369,130,1,0,1007,0,0,2,-0.964961,N,?
370,130,12,0,1018,0,0,1,-0.999982,N,?
371,130,16,0,1018,0,1663,1,-1,N,?
372,130,1,0,1019,0,0,1,-0.977421,N,?
373,130,2,0,1034,588,658,1,-1,N,?
374,115,20,0,1083,107,107,1,-1,N,?
375,130,6,0,1078,2930,2930,1,-1,N,?
376,130,18,0,1034,0,46350,1,-1,N,?
377,76,12,0,1018,0,0,1,-0.998667,N,?
378,58,15,0,1018,0,0,1,-1,N,?
379,130,5,1,1048,0,910,8,-1,N,?
380,130,20,0,1018,0,15,1,-1,N,?
381,98,20,1,1083,0,0,8,-1,N,?
382,92,20,1,1083,0,0,8,-1,N,?
383,93,20,1,1083,0,0,8,-1,N,?
384,93,20,1,1083,0,0,8,-1,N,?
385,98,20,1,1083,0,0,8,-1,N,?
386,98,20,1,1083,0,0,8,-1,N,?
387,93,20,1,1083,0,0,8,-1,N,?
388,94,20,1,1083,0,0,8,-1,N,?
389,130,6,0,1083,270,1090,1,-1,N,?
390,130,16,0,1007,4440,44722,1,-1,N,?
391,130,6,0,1083,1780,1780,1,-1,N,?
